pos,neg,neu,compound
0.108,0.149,0.743,-0.2315
0.172,0.1,0.728,0.25
0.136,0.221,0.643,-0.296
0.0,0.0,1.0,0.0
0.128,0.136,0.736,-0.0366
0.0,0.171,0.829,-0.4767
0.403,0.0,0.597,0.4019
0.0,0.458,0.542,-0.9351
0.119,0.0,0.881,0.6652
0.0,0.423,0.577,-0.296
0.0,0.268,0.732,-0.6597
0.123,0.423,0.455,-0.765
0.0,0.0,1.0,0.0
0.198,0.191,0.612,0.0516
0.0,0.342,0.658,-0.6369
0.034,0.205,0.761,-0.8176
0.163,0.0,0.837,0.5106
0.0,0.259,0.741,-0.7906
0.037,0.26,0.703,-0.9287
0.177,0.065,0.758,0.4588
0.0,0.049,0.951,-0.2382
0.0,0.254,0.746,-0.5267
0.345,0.0,0.655,0.7003
0.057,0.414,0.529,-0.9823
0.179,0.344,0.477,-0.9081
0.112,0.177,0.711,-0.6369
0.176,0.0,0.824,0.507
0.0,0.0,1.0,0.0
0.149,0.181,0.67,-0.0772
0.029,0.138,0.833,-0.7121
0.126,0.247,0.628,-0.4019
0.28,0.32,0.4,0.1531
0.059,0.079,0.862,0.0428
0.0,0.104,0.896,-0.296
0.0,0.333,0.667,-0.7906
0.218,0.1,0.682,0.3818
0.098,0.107,0.794,-0.0516
0.108,0.04,0.853,0.5187
0.082,0.285,0.633,-0.5908
0.17,0.392,0.438,-0.8442
0.158,0.199,0.643,-0.1774
0.23,0.326,0.444,-0.7096
0.0,0.319,0.681,-0.6887
0.184,0.124,0.692,0.2732
0.042,0.363,0.595,-0.9062
0.052,0.047,0.901,0.0516
0.104,0.24,0.656,-0.5423
0.156,0.0,0.844,0.743
0.0,0.207,0.793,-0.6908
0.0,0.29,0.71,-0.8689
0.132,0.087,0.78,0.2263
0.0,0.374,0.626,-0.9442
0.0,0.603,0.397,-0.8225
0.288,0.174,0.538,0.4592
0.128,0.247,0.626,-0.723
0.0,0.45,0.55,-0.8689
0.0,0.0,1.0,0.0
0.268,0.0,0.732,0.9153
0.0,0.0,1.0,0.0
0.022,0.219,0.759,-0.9246
0.0,0.308,0.692,-0.9537
0.176,0.036,0.789,0.7269
0.049,0.247,0.703,-0.8576
0.07,0.22,0.71,-0.8594
0.162,0.324,0.515,-0.4939
0.0,0.0,1.0,0.0
0.045,0.12,0.835,-0.6249
0.0,0.397,0.603,-0.8894
0.255,0.063,0.683,0.886
0.113,0.208,0.679,-0.4767
0.0,0.344,0.656,-0.6369
0.0,0.455,0.545,-0.9648
0.391,0.0,0.609,0.7717
0.056,0.163,0.781,-0.6151
0.0,0.138,0.862,-0.7269
0.0,0.538,0.462,-0.5423
0.0,0.13,0.87,-0.34
0.041,0.226,0.733,-0.7941
0.0,0.633,0.367,-0.7845
0.217,0.275,0.508,-0.4019
0.0,0.653,0.347,-0.8864
0.0,0.58,0.42,-0.7845
0.203,0.08,0.718,0.6054
0.0,0.477,0.523,-0.8481
0.262,0.052,0.687,0.7469
0.0,0.481,0.519,-0.5719
0.207,0.0,0.793,0.5267
0.069,0.266,0.665,-0.7717
0.157,0.0,0.843,0.1531
0.123,0.213,0.664,-0.4019
0.121,0.318,0.561,-0.4767
0.0,0.187,0.813,-0.3182
0.0,0.0,1.0,0.0
0.195,0.243,0.562,-0.3182
0.0,0.048,0.952,-0.0516
0.368,0.16,0.472,0.5267
0.121,0.435,0.444,-0.9287
0.0,0.167,0.833,-0.875
0.0,0.0,1.0,0.0
0.0,0.461,0.539,-0.886
0.444,0.0,0.556,0.7899
0.175,0.133,0.693,0.1027
0.0,0.298,0.702,-0.6428
0.0,0.0,1.0,0.0
0.143,0.053,0.805,0.4404
0.116,0.244,0.64,-0.4939
0.202,0.23,0.568,-0.6124
0.0,0.311,0.689,-0.7063
0.0,0.202,0.798,-0.5859
0.11,0.174,0.716,-0.542
0.292,0.362,0.346,0.0516
0.231,0.0,0.769,0.6597
0.195,0.0,0.805,0.4404
0.191,0.48,0.329,-0.6597
0.189,0.18,0.631,0.0258
0.0,0.349,0.651,-0.8955
0.31,0.0,0.69,0.8689
0.045,0.38,0.575,-0.9386
0.095,0.224,0.681,-0.7845
0.136,0.269,0.594,-0.7003
0.18,0.289,0.531,-0.3075
0.239,0.27,0.491,-0.5423
0.223,0.065,0.712,0.6486
0.0,0.0,1.0,0.0
0.201,0.231,0.568,-0.4215
0.0,0.0,1.0,0.0
0.02,0.38,0.6,-0.976
0.0,0.444,0.556,-0.6115
0.0,0.733,0.267,-0.9001
0.092,0.265,0.643,-0.6486
0.168,0.254,0.578,-0.3612
0.073,0.0,0.927,0.1877
0.227,0.0,0.773,0.4767
0.098,0.0,0.902,0.0772
